request_number,industry,gender,nation,model
27,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
28,"Construction, Construction Trades, Wood, Building Services Engineering",default,default,deepseek/deepseek-chat-v3-0324
29,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
30,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
31,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
32,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
33,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
34,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
35,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
36,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
37,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
38,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
39,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
40,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
41,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
42,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
43,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
44,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
45,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
46,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
47,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
48,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
49,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
50,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
51,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
52,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
53,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
54,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
55,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
56,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
57,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
58,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
59,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
60,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
61,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
62,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
63,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
64,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
65,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
66,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
67,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
68,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
69,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
70,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
71,"Science, Education, Research and Development",default,default,deepseek/deepseek-chat-v3-0324
72,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
73,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
74,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
75,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
76,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
77,"Science, Education, Research and Development",default,default,deepseek/deepseek-chat-v3-0324
78,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
79,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
80,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
81,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
82,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
83,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
84,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
85,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
86,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
87,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
88,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
89,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
90,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
91,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
92,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
93,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
94,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
95,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
96,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
97,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
98,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
99,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
100,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
101,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
102,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
103,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
104,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
105,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
106,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
107,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
108,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
109,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
110,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
111,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
112,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
113,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
114,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
115,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
116,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
117,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
118,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
119,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
120,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
121,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
122,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
123,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
124,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
125,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
126,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
127,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
128,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
129,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
130,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
131,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
132,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
133,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
134,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
135,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
136,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
137,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
138,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
139,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
140,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
141,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
142,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
143,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
144,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
145,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
146,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
147,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
148,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
149,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
150,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
151,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
152,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
153,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
154,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
155,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
156,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
157,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
158,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
159,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
160,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
161,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
162,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
163,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
164,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
165,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
166,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
167,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
168,"Office, Marketing, Finance, Law, Security",default,default,deepseek/deepseek-chat-v3-0324
169,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
170,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
171,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
172,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
173,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
174,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
175,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
176,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
177,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
178,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
179,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
180,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
181,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
182,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
183,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
184,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
185,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
186,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
187,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
188,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
189,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
190,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
191,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
192,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
193,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
194,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
195,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
196,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
197,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
198,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
199,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
200,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
201,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
202,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
203,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
204,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
205,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
206,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
207,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
208,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
209,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
210,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
211,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
212,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
213,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
214,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
215,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
216,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
217,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
218,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
219,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
220,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
221,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
222,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
223,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
224,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
225,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
226,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
227,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
228,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
229,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
230,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
231,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
232,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
233,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
234,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
235,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
236,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
237,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
238,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
239,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
240,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
241,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
242,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
243,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
244,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
245,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
246,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
247,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
248,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
249,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
250,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
251,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
252,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
253,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
254,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
255,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
256,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
257,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
258,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
259,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
260,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
261,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
262,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
263,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
264,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
265,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
266,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
267,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
268,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
269,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
270,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
271,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
272,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
273,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
274,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
275,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
276,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
277,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
278,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
279,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
280,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,deepseek/deepseek-chat-v3-0324
