request_number,industry,gender,nation,model
64,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
65,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
66,Environment,default,default,openai/gpt-4o-mini
67,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
68,Environment,default,default,openai/gpt-4o-mini
69,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
70,Environment,default,default,openai/gpt-4o-mini
71,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
72,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
73,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
74,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
75,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
76,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
77,Environment,default,default,openai/gpt-4o-mini
78,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
79,Environment,default,default,openai/gpt-4o-mini
80,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
81,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
82,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
83,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
84,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
85,Environment,default,default,openai/gpt-4o-mini
86,Environment,default,default,openai/gpt-4o-mini
87,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
88,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
89,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
90,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
91,"Tourism, Hospitality, Leisure",default,default,openai/gpt-4o-mini
92,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
93,Environment,default,default,openai/gpt-4o-mini
94,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
95,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
96,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
97,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
98,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
99,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
100,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
101,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
102,"Media, Graphics, Design, Printing, Art, Handcraft",default,default,openai/gpt-4o-mini
103,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
104,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
105,Environment,default,default,openai/gpt-4o-mini
106,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
107,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
108,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
109,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
110,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
111,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
112,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
113,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
114,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
115,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
116,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
117,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
118,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
119,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
120,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
121,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
122,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
123,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
124,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
125,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
126,Environment,default,default,openai/gpt-4o-mini
127,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
128,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
129,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
130,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
131,Environment,default,default,openai/gpt-4o-mini
132,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
133,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
134,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
135,Environment,default,default,openai/gpt-4o-mini
136,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
137,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
138,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
139,Environment,default,default,openai/gpt-4o-mini
140,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
141,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
142,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
143,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
144,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
145,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
146,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
147,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
148,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
149,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
150,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
151,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
152,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
153,Environment,default,default,openai/gpt-4o-mini
154,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
155,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
156,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
157,Environment,default,default,openai/gpt-4o-mini
158,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
159,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
160,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
161,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
162,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
163,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
164,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
165,Environment,default,default,openai/gpt-4o-mini
166,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
167,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
168,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
169,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
170,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
171,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
172,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
173,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
174,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
175,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
176,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
177,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
178,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
179,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
180,Environment,default,default,openai/gpt-4o-mini
181,Environment,default,default,openai/gpt-4o-mini
182,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
183,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
184,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
185,Environment,default,default,openai/gpt-4o-mini
186,Environment,default,default,openai/gpt-4o-mini
187,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
188,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
189,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
190,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
191,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
192,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
193,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
194,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
195,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
196,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
197,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
198,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
199,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
200,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
201,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
202,Environment,default,default,openai/gpt-4o-mini
203,Environment,default,default,openai/gpt-4o-mini
204,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
205,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
206,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
207,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
208,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
209,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
210,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
211,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
212,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
213,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
214,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
215,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
216,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
217,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
218,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
219,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
220,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
221,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
222,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
223,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
224,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
225,Environment,default,default,openai/gpt-4o-mini
226,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
227,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
228,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
229,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
230,Environment,default,default,openai/gpt-4o-mini
231,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
232,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
233,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
234,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
235,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
236,Environment,default,default,openai/gpt-4o-mini
237,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
238,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
239,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
240,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
241,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
242,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
243,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
244,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
245,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
246,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
247,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
248,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
249,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
250,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
251,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
252,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
253,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
254,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
255,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
256,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
257,Environment,default,default,openai/gpt-4o-mini
258,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
259,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
260,Environment,default,default,openai/gpt-4o-mini
261,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
262,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
263,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
264,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
265,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
266,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
267,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
268,Environment,default,default,openai/gpt-4o-mini
269,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
270,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
271,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
272,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
273,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
274,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
275,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
276,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
277,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
278,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
279,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
280,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
281,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
282,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
283,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
284,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
285,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
286,Environment,default,default,openai/gpt-4o-mini
287,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
288,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
289,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
290,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
291,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
292,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
293,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
294,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
295,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
296,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
297,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
298,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
299,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
300,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
301,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
302,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
303,Environment,default,default,openai/gpt-4o-mini
304,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
305,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
306,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
307,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
308,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
309,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
310,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
311,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
312,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
313,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
314,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
315,Environment,default,default,openai/gpt-4o-mini
316,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
317,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
318,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
319,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
320,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
321,Environment,default,default,openai/gpt-4o-mini
322,Environment,default,default,openai/gpt-4o-mini
323,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
324,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
325,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
326,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
327,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
328,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
329,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
330,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
331,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
332,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
333,Environment,default,default,openai/gpt-4o-mini
334,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
335,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
336,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
337,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
338,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
339,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
340,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
341,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
342,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
343,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
344,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
345,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
346,Environment,default,default,openai/gpt-4o-mini
347,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
348,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
349,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
350,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
351,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
352,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
353,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
354,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
355,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
356,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
357,Environment,default,default,openai/gpt-4o-mini
358,"Science, Education, Research and Development",default,default,openai/gpt-4o-mini
359,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
360,"Mechanical Engineering, Automotive, Metalworking",default,default,openai/gpt-4o-mini
361,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
362,"Electrical Engineering, Electronics, Telecommunications, IT",default,default,openai/gpt-4o-mini
363,"Social Services, Health, Beauty Care",default,default,openai/gpt-4o-mini
