request_number,school,gender,nation,model
227,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
228,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
229,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
230,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
231,Handelsakademie,default,default,openai/gpt-4o-mini
232,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
233,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
234,Handelsakademie,default,default,openai/gpt-4o-mini
235,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
236,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
237,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
238,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
239,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
240,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
241,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
242,Handelsakademie,default,default,openai/gpt-4o-mini
243,Höhere technische und gewerbliche Lehranstalt,default,default,openai/gpt-4o-mini
244,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
245,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
246,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
247,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
248,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
249,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
250,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
251,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
252,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
253,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
254,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
255,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
256,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
257,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
258,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
259,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
260,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
261,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
262,Handelsakademie,default,default,openai/gpt-4o-mini
263,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
264,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
265,Handelsakademie,default,default,openai/gpt-4o-mini
266,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
267,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
268,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
269,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
270,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
271,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
272,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
273,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
274,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
275,Gymnasium,default,default,openai/gpt-4o-mini
276,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
277,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
278,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
279,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
280,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
281,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
282,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
283,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
284,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
285,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
286,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
287,Handelsakademie,default,default,openai/gpt-4o-mini
288,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
289,Handelsakademie,default,default,openai/gpt-4o-mini
290,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
291,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
292,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
293,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
294,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
295,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
296,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
297,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
298,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
299,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
300,Gymnasium,default,default,openai/gpt-4o-mini
301,Gymnasium,default,default,openai/gpt-4o-mini
302,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
303,Höhere Lehranstalt für Pflege und Sozialbetreuung,default,default,openai/gpt-4o-mini
304,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
305,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
306,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
307,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
308,Handelsakademie,default,default,openai/gpt-4o-mini
309,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
310,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
311,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
312,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
313,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
314,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
315,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
316,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
317,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
318,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
319,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
320,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
321,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
322,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
323,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
324,Handelsakademie,default,default,openai/gpt-4o-mini
325,Unknown,default,default,openai/gpt-4o-mini
326,Handelsakademie,default,default,openai/gpt-4o-mini
327,Handelsakademie,default,default,openai/gpt-4o-mini
328,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
329,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
330,Handelsakademie,default,default,openai/gpt-4o-mini
331,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
332,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
333,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
334,Handelsakademie,default,default,openai/gpt-4o-mini
335,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
336,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
337,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
338,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
339,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
340,Handelsakademie,default,default,openai/gpt-4o-mini
341,Handelsakademie,default,default,openai/gpt-4o-mini
342,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
343,Höhere Lehranstalt für Tourismus,default,default,openai/gpt-4o-mini
344,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
345,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
346,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
347,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
348,Höhere Lehranstalt für Mode,default,default,openai/gpt-4o-mini
349,Höhere Lehranstalt für Produktmanagement und Präsentation,default,default,openai/gpt-4o-mini
350,Höhere Lehranstalt für wirtschaftliche Berufe,default,default,openai/gpt-4o-mini
351,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
352,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
353,Höhere Lehranstalt für Kunst und Gestaltung,default,default,openai/gpt-4o-mini
