request_number,faculty,gender,nation,model
52,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
53,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
54,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
55,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
56,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
57,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
58,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
59,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
60,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
61,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
62,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
63,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
64,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
65,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
66,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
67,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
68,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
69,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
70,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
71,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
72,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
73,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
74,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
75,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
76,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
77,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
78,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
79,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
80,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
81,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
82,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
83,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
84,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
85,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
86,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
87,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
88,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
89,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
90,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
91,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
92,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
93,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
94,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
95,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
96,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
97,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
98,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
99,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
100,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
101,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
102,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
103,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
104,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
105,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
106,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
107,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
108,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
109,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
110,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
111,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
112,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
113,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
114,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
115,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
116,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
117,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
118,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
119,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
120,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
121,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
122,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
123,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
124,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
125,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
126,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
127,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
128,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
129,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
130,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
131,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
132,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
133,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
134,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
135,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
136,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
137,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
138,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
139,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
140,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
141,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
142,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
143,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
144,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
145,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
146,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
147,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
148,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
149,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
150,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
151,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
152,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
153,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
154,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
155,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
156,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
157,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
158,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
159,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
160,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
161,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
162,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
163,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
164,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
165,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
166,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
167,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
168,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
169,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
170,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
171,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
172,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
173,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
174,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
175,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
176,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
177,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
178,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
179,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
180,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
181,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
182,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
183,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
184,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
185,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
186,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
187,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
188,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
189,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
190,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
191,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
192,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
193,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
194,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
195,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
196,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
197,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
198,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
199,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
200,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
201,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
202,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
203,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
204,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
205,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
206,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
207,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
208,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
209,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
210,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
211,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
212,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
213,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
214,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
215,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
216,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
217,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
218,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
219,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
220,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
221,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
222,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
223,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
224,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
225,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
226,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
227,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
228,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
229,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
230,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
231,Unknown,default,default,deepseek/deepseek-chat-v3-0324
232,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
233,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
234,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
235,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
236,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
237,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
238,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
239,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
240,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
241,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
242,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
243,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
244,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
245,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
246,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
247,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
248,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
249,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
250,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
251,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
252,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
253,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
254,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
255,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
256,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
257,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
258,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
259,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
260,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
261,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
262,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
263,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
264,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
265,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
266,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
267,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
268,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
269,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
270,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
271,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
272,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
273,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
274,Faculty of Social Sciences,default,default,deepseek/deepseek-chat-v3-0324
275,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
276,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
277,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
278,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
279,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
280,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
281,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
282,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
283,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
284,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
285,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
286,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
287,Faculty of Law,default,default,deepseek/deepseek-chat-v3-0324
288,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
289,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
290,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
291,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
292,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
293,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
294,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
295,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
296,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
297,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
298,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
299,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
300,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
301,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
302,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
303,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
304,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
305,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
306,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
307,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
308,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
309,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
310,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
311,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
312,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
313,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
314,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
315,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
316,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
317,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
318,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
319,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
320,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
321,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
322,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
323,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
324,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
325,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
326,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
327,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
328,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
329,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
330,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
331,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
332,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
333,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
334,"Faculty of Business, Economics, and Statistics",default,default,deepseek/deepseek-chat-v3-0324
335,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
336,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
337,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
338,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
339,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
340,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
341,Faculty of Psychology,default,default,deepseek/deepseek-chat-v3-0324
342,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
343,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
344,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
345,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
346,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
347,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
348,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
349,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
350,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
351,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
352,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
353,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
354,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
355,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
356,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
357,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
358,Faculty of Computer Science,default,default,deepseek/deepseek-chat-v3-0324
359,"Faculty of Business, Economics and Statistics",default,default,deepseek/deepseek-chat-v3-0324
